team_id,team_abv,team_name,points_scored,points_allowed,team_time_of_possession,penalties_NUM,penalties_YDS,offense_PLAYS,offense_YDS,offense_YDS/PLAY,offense_first_downs_passing,offense_first_downs_rushing,offense_first_downs_penalty,offense_turnovers,second_downs_ATT,second_downs_MADE,third_downs_ATT,third_downs_MADE,red_zone_OPP,red_zone_TD,second_downs_PCT,passing_ATT,passing_YDS,passing_INT,passing_YDS/ATT,rushing_ATT,rushing_YDS,rushing_YDS/ATT,fumbles_NUM,fumbles_LOST,fumbles_FR,fumbles_FR_YDS,defense_TFL,defense_SACKS,defense_SACK_YDS,defense_BLK,defense_INT,defense_INT_YDS,kicking_FGM,kicking_FGA,kicking_FG_LONG,punting_NUM,punting_GROSS_YDS,punting_GROSS_AVG,punt_return_NUM,punt_return_YDS,punt_return_AVG,kick_return_NUM,kick_return_YDS,kick_return_AVG,missed_fg_return_NUM,missed_fg_return_YDS,season,game_id,fixture_id,season_type,last_updated
122345,TOR,Toronto Argonauts,20,10,32:52,7,75,54,307,5.7,7,11,2,1,22,9,0,0,3,/,40.9,29,214,1,7.4,21,110,5.2,1,0,1,0,[1],1,5,0,1,7,0,1,0,11,447,40.6,7,35,5.0,3,56,18.7,0,0,2026,13419667,13419667,Preseason,2026-09-05T13:12:52.590189
83579,HAM,Hamilton Tiger-cats,10,20,27:08,11,144,51,266,5.2,6,6,1,2,20,6,3,2,0,/,30.0,27,125,1,4.6,22,147,6.7,0,0,0,0,[2],3,17,0,1,14,1,1,28,10,436,43.6,7,67,9.6,2,12,6.0,1,29,2026,13419667,13419667,Preseason,2026-09-05T13:12:52.590189
83579,HAM,Hamilton Tiger-cats,20,14,27:40,13,107,48,438,9.1,5,11,0,2,17,6,2,1,1,/,35.3,27,345,1,12.8,17,99,5.8,0,0,0,0,[0],5,48,0,1,0,0,0,0,8,397,49.6,6,43,7.2,3,69,23.0,0,0,2026,13419671,13419671,Preseason,2026-09-05T13:12:52.590189
122345,TOR,Toronto Argonauts,14,20,32:20,10,95,48,201,4.2,6,6,2,1,19,7,1,1,0,/,36.8,24,108,1,4.5,18,141,7.8,0,0,0,0,[1],1,2,0,1,48,0,0,0,11,395,35.9,6,64,10.7,4,84,21.0,0,0,2026,13419671,13419671,Preseason,2026-09-05T13:12:52.590189
86680,MTL,Montreal Alouettes,30,27,27:37,11,118,53,401,7.6,8,12,1,0,21,10,3,3,1,/,47.6,38,336,0,8.8,14,80,5.7,0,0,0,0,[2],1,3,0,1,54,3,3,29,6,307,51.2,4,18,4.5,3,67,22.3,0,0,2026,13419674,13419674,Regular Season,2026-09-05T13:12:52.590189
83579,HAM,Hamilton Tiger-cats,27,30,32:23,2,30,56,339,6.1,8,15,4,2,23,14,0,0,3,/,60.9,39,307,1,7.9,16,35,2.2,1,1,1,0,[2],1,15,0,0,0,2,2,37,5,207,41.4,5,85,17.0,5,92,18.4,0,0,2026,13419674,13419674,Regular Season,2026-09-05T13:12:52.590189
110380,WPG,Winnipeg Blue Bombers,30,28,30:21,5,43,53,359,6.8,10,11,2,1,18,9,4,4,3,/,50.0,28,233,1,8.3,23,134,5.8,0,0,0,0,[1],4,21,0,0,0,2,2,38,4,200,50.0,4,105,36.0,3,69,23.0,1,22,2026,13419675,13419675,Regular Season,2026-09-05T13:12:52.590189
112939,CGY,Calgary Stampeders,28,30,29:39,7,53,60,389,6.4,15,10,2,1,24,14,3,3,3,/,60.0,27,239,0,8.9,29,171,5.9,2,1,2,0,[0],1,7,0,1,3,0,1,0,5,233,46.6,3,16,5.3,3,66,22.0,0,0,2026,13419675,13419675,Regular Season,2026-09-05T13:12:52.590189
114347,EDM,Edmonton Elks,29,21,35:20,14,142,58,342,5.8,5,9,5,0,26,11,0,0,1,/,42.3,34,266,0,7.8,22,122,5.5,0,0,0,4,[4],1,5,0,0,0,5,5,44,8,371,46.4,7,111,15.9,3,61,20.3,0,0,2026,13419676,13419676,Regular Season,2026-09-05T13:12:52.590189
88019,OTT,Ottawa REDBLACKS,21,29,24:40,10,110,54,297,5.4,7,7,4,4,20,6,5,2,2,/,30.0,37,203,0,5.5,16,99,6.2,2,2,2,0,[5],1,9,0,0,0,2,2,35,8,413,51.6,7,94,13.4,3,66,22.0,0,0,2026,13419676,13419676,Regular Season,2026-09-05T13:12:52.590189
83579,HAM,Hamilton Tiger-cats,37,27,33:08,6,43,56,455,8.1,13,12,1,0,22,13,4,4,3,/,59.1,24,287,0,12.0,31,171,5.5,0,0,0,0,[0],2,10,0,1,0,3,3,53,2,72,36.0,1,4,4.0,4,55,13.8,0,0,2026,13419677,13419677,Regular Season,2026-09-05T13:12:52.590189
110380,WPG,Winnipeg Blue Bombers,27,37,26:52,5,68,52,459,8.8,4,20,2,1,16,7,3,3,2,/,43.8,35,421,1,12.0,14,49,3.5,0,0,0,0,[2],1,3,0,0,0,2,3,45,1,48,48.0,0,0,0.0,5,96,19.2,0,0,2026,13419677,13419677,Regular Season,2026-09-05T13:12:52.590189
122345,TOR,Toronto Argonauts,30,37,28:17,3,25,59,480,8.0,3,19,1,3,23,12,2,0,2,/,52.2,46,445,1,9.7,11,71,6.5,2,1,2,4,[1],1,2,1,0,0,3,5,31,4,168,42.0,5,104,20.8,5,129,25.8,0,0,2026,13419678,13419678,Regular Season,2026-09-05T13:12:52.590189
86680,MTL,Montreal Alouettes,37,30,31:43,3,30,55,486,8.8,5,16,1,2,21,10,1,1,1,/,47.6,42,441,0,10.5,11,51,4.6,2,2,2,17,[0],1,10,0,1,0,3,3,40,6,309,51.5,4,41,10.3,4,75,18.8,1,35,2026,13419678,13419678,Regular Season,2026-09-05T13:12:52.590189
93775,BC,BC Lions,27,31,27:30,3,32,56,418,7.5,10,14,1,0,21,11,4,3,3,/,52.4,37,330,0,8.9,17,99,5.8,0,0,0,0,[1],1,5,0,0,0,2,2,25,4,198,49.5,2,17,8.5,4,75,18.8,0,0,2026,13419679,13419679,Regular Season,2026-09-05T13:12:52.590189
106752,SSK,Saskatchewan Roughriders,31,27,32:30,7,95,56,489,8.7,5,21,1,0,22,14,2,2,3,/,63.6,36,417,0,11.6,19,77,4.1,1,0,1,0,[2],2,11,0,0,0,3,4,35,2,92,46.0,3,32,10.7,4,121,30.3,0,0,2026,13419679,13419679,Regular Season,2026-09-05T13:12:52.590189
93775,BC,BC Lions,27,41,35:21,5,91,66,444,6.7,7,21,1,2,25,14,3,2,2,/,56.0,42,378,1,9.0,20,79,4.0,0,0,0,0,[3],0,0,0,0,0,4,4,43,3,138,46.0,2,19,9.5,7,149,21.3,1,20,2026,13419680,13419680,Regular Season,2026-09-05T13:12:52.590189
83579,HAM,Hamilton Tiger-cats,41,27,24:39,6,54,39,347,8.9,4,12,2,0,15,9,0,0,3,/,60.0,18,285,0,15.8,20,63,3.2,0,0,0,0,[1],3,12,0,1,0,0,1,0,4,209,52.3,1,4,4.0,3,69,23.0,0,0,2026,13419680,13419680,Regular Season,2026-09-05T13:12:52.590189
122345,TOR,Toronto Argonauts,44,24,30:44,9,122,63,522,8.3,7,18,1,5,20,9,3,2,4,/,45.0,32,424,4,13.3,27,111,4.1,0,0,0,0,[2],2,17,0,2,2,3,3,43,4,227,56.8,4,33,8.3,2,49,24.5,0,0,2026,13419681,13419681,Regular Season,2026-09-05T13:12:52.590189
88019,OTT,Ottawa REDBLACKS,24,44,29:16,6,50,59,309,5.2,3,11,4,6,24,9,4,1,1,/,37.5,42,281,2,6.7,15,45,3.0,2,1,2,0,[3],1,7,0,4,22,5,5,51,6,268,44.7,3,40,13.3,6,157,26.2,0,0,2026,13419681,13419681,Regular Season,2026-09-05T13:12:52.590189
86680,MTL,Montreal Alouettes,29,32,34:16,2,25,72,481,6.7,13,16,1,3,26,14,2,1,1,/,53.8,44,356,0,8.1,27,126,4.7,3,2,3,0,[4],1,7,0,1,15,5,5,50,5,227,45.4,6,69,11.5,4,99,24.8,0,0,2026,13419682,13419682,Regular Season,2026-09-05T13:12:52.590189
114347,EDM,Edmonton Elks,32,29,25:44,6,60,53,425,8.0,11,10,0,2,19,7,2,2,2,/,31.6,29,231,1,8.0,23,201,8.7,2,1,2,0,[3],0,0,0,0,0,2,2,36,7,361,51.6,4,21,5.3,3,78,26.0,0,0,2026,13419682,13419682,Regular Season,2026-09-05T13:12:52.590189
106752,SSK,Saskatchewan Roughriders,40,37,30:57,7,49,65,454,7.0,7,18,0,1,27,16,1,1,4,/,59.3,36,349,0,9.7,27,117,4.3,1,1,1,0,[1],1,6,0,0,0,2,3,38,7,368,52.6,5,65,13.0,4,74,18.5,0,0,2026,13419683,13419683,Regular Season,2026-09-05T13:12:52.590189
112939,CGY,Calgary Stampeders,37,40,29:03,10,100,55,377,6.9,11,11,0,0,20,7,2,2,3,/,35.0,30,254,0,8.5,24,129,5.4,0,0,0,0,[0],2,12,0,0,0,3,3,24,8,388,48.5,5,48,9.6,5,39,7.8,1,120,2026,13419683,13419683,Regular Season,2026-09-05T13:12:52.590189
114347,EDM,Edmonton Elks,23,18,30:49,6,41,57,388,6.8,11,13,1,2,21,12,1,0,3,/,57.1,35,267,0,7.6,22,121,5.5,1,1,1,93,[0],3,27,0,0,0,1,1,15,7,314,44.9,5,62,12.4,2,40,13.3,2,42,2026,13419684,13419684,Regular Season,2026-09-05T13:12:52.590189
110380,WPG,Winnipeg Blue Bombers,18,23,29:11,2,15,55,369,6.7,9,11,1,3,21,10,2,2,1,/,47.6,33,290,0,8.8,19,106,5.6,6,3,6,0,[3],0,0,0,0,0,1,3,53,5,249,49.8,6,83,13.8,4,136,34.0,0,0,2026,13419684,13419684,Regular Season,2026-09-05T13:12:52.590189
122345,TOR,Toronto Argonauts,40,34,28:15,3,22,51,393,7.4,5,14,2,1,21,11,0,0,1,/,52.4,30,321,1,10.7,16,102,6.4,0,0,0,0,[2],2,14,0,1,0,4,4,51,5,240,48.0,4,91,22.8,7,119,17.0,0,0,2026,14038501,14038501,Regular Season,2026-09-05T13:12:52.590189
106752,SSK,Saskatchewan Roughriders,34,40,31:45,7,80,61,475,7.8,7,18,2,2,23,14,2,2,4,/,60.9,43,409,1,9.5,16,80,5.0,1,1,1,0,[1],4,29,0,1,19,2,2,36,5,222,44.4,4,53,13.3,3,71,23.7,0,0,2026,14038501,14038501,Regular Season,2026-09-05T13:12:52.590189
112939,CGY,Calgary Stampeders,41,33,29:05,8,78,50,288,5.8,6,10,3,0,20,8,2,2,3,/,40.0,27,229,0,8.5,20,75,3.8,0,0,0,0,[0],4,36,0,1,9,2,2,57,7,347,49.6,5,139,27.8,5,75,15.0,0,0,2026,13419686,13419686,Regular Season,2026-09-05T13:12:52.590189
93775,BC,BC Lions,33,41,30:55,10,118,57,479,8.3,2,23,4,2,17,7,2,2,4,/,41.2,43,483,1,11.2,10,32,3.2,1,1,1,0,[3],2,15,0,0,0,1,1,36,7,322,46.0,6,59,9.8,7,81,11.6,0,0,2026,13419686,13419686,Regular Season,2026-09-05T13:12:52.590189
88019,OTT,Ottawa REDBLACKS,35,37,27:19,9,71,52,347,6.5,4,17,1,1,18,8,2,2,2,/,47.4,38,336,1,8.8,11,38,3.5,0,0,0,0,[1],1,7,0,0,0,3,3,37,5,251,50.2,4,43,10.8,7,307,43.9,0,0,2026,13419687,13419687,Regular Season,2026-09-05T13:12:52.590189
86680,MTL,Montreal Alouettes,37,35,32:41,7,87,57,460,7.9,13,12,3,0,20,12,2,2,4,/,60.0,30,345,0,11.5,24,124,5.2,1,0,1,0,[1],3,27,0,1,0,1,2,25,5,223,44.6,5,77,15.4,5,135,27.0,0,0,2026,13419687,13419687,Regular Season,2026-09-05T13:12:52.590189
122345,TOR,Toronto Argonauts,36,58,28:28,16,139,64,466,7.3,8,18,0,2,20,10,4,4,5,/,50.0,46,393,2,8.5,16,78,4.9,0,0,0,0,[1],1,10,0,0,0,1,1,52,5,323,64.6,3,11,3.7,7,138,17.3,0,0,2026,13419688,13419688,Regular Season,2026-09-05T13:12:52.590189
112939,CGY,Calgary Stampeders,58,36,31:32,11,92,48,496,10.1,7,15,3,1,17,12,1,0,5,/,70.6,25,405,0,16.2,22,101,4.6,0,0,0,0,[1],1,4,0,2,42,0,0,0,4,205,51.3,4,68,17.0,5,93,18.6,0,0,2026,13419688,13419688,Regular Season,2026-09-05T13:12:52.590189
106752,SSK,Saskatchewan Roughriders,27,22,31:22,2,7,58,329,5.7,7,12,1,2,23,12,3,2,1,/,52.2,31,243,1,7.8,22,107,4.9,2,1,2,0,[2],1,3,1,0,0,2,2,36,5,221,44.2,4,140,35.0,3,70,23.3,0,0,2026,13419689,13419689,Regular Season,2026-09-05T13:12:52.590189
88019,OTT,Ottawa REDBLACKS,22,27,28:38,6,37,49,333,6.7,6,10,1,2,18,6,3,2,2,/,33.3,30,259,0,8.6,17,79,4.6,2,1,2,0,[0],1,2,0,1,0,3,3,40,5,287,57.4,4,43,10.8,4,92,23.0,0,0,2026,13419689,13419689,Regular Season,2026-09-05T13:12:52.590189
114347,EDM,Edmonton Elks,24,36,26:53,7,80,61,416,6.7,3,21,3,4,23,14,2,2,2,/,60.9,51,395,3,7.7,9,24,2.7,2,1,2,0,[2],1,7,0,2,17,1,1,45,5,207,41.4,3,38,12.7,5,99,19.8,1,36,2026,13419690,13419690,Regular Season,2026-09-05T13:12:52.590189
93775,BC,BC Lions,36,24,33:07,3,83,58,475,8.2,10,16,3,2,21,14,0,0,4,/,66.7,36,320,2,8.9,21,162,7.7,1,0,1,3,[2],1,3,1,3,52,3,4,40,4,202,50.5,4,64,16.0,4,92,23.0,0,0,2026,13419690,13419690,Regular Season,2026-09-05T13:12:52.590189
110380,WPG,Winnipeg Blue Bombers,14,13,26:09,6,75,46,200,4.3,7,4,2,1,19,7,0,0,0,/,36.8,22,127,1,5.8,20,97,4.9,1,0,1,0,[1],2,20,0,1,17,2,3,46,8,396,49.5,8,114,14.3,3,67,22.3,0,0,2026,13419691,13419691,Regular Season,2026-09-05T13:12:52.590189
83579,HAM,Hamilton Tiger-cats,13,14,33:51,7,75,53,281,5.2,5,11,3,1,23,10,0,0,1,/,43.5,38,240,1,6.3,13,61,4.7,1,0,1,0,[2],3,23,0,1,2,2,2,20,9,440,48.9,6,76,12.7,3,38,12.7,0,0,2026,13419691,13419691,Regular Season,2026-09-05T13:12:52.590189
88019,OTT,Ottawa REDBLACKS,17,40,28:18,7,85,55,337,6.0,4,15,3,4,21,10,3,2,1,/,47.6,43,323,4,7.5,10,25,2.5,0,0,0,0,[2],3,18,0,0,0,1,1,27,6,263,43.8,4,45,11.3,6,164,27.3,0,0,2026,13419692,13419692,Regular Season,2026-09-05T13:12:52.590189
114347,EDM,Edmonton Elks,40,17,31:42,8,92,60,537,9.0,13,12,1,1,24,15,1,0,2,/,62.5,24,340,0,14.2,33,215,6.5,0,0,0,0,[1],2,11,0,4,11,4,4,50,5,255,51.0,4,48,12.0,3,76,25.3,0,0,2026,13419692,13419692,Regular Season,2026-09-05T13:12:52.590189
122345,TOR,Toronto Argonauts,21,30,25:39,4,50,48,351,7.2,3,16,1,1,17,7,2,1,3,/,44.4,36,320,0,8.9,9,47,5.2,1,1,1,0,[2],1,10,0,1,8,0,2,0,7,342,48.9,2,32,16.0,3,67,22.3,1,0,2026,14038504,14038504,Regular Season,2026-09-05T13:12:52.590189
110380,WPG,Winnipeg Blue Bombers,30,21,34:21,5,43,58,406,7.0,7,13,0,3,23,12,3,3,0,/,52.2,31,339,1,10.9,23,80,3.5,2,2,2,0,[4],3,16,0,0,0,5,6,56,2,101,50.5,6,79,13.2,4,125,31.3,2,152,2026,14038504,14038504,Regular Season,2026-09-05T13:12:52.590189
112939,CGY,Calgary Stampeders,30,37,30:58,11,113,57,370,6.5,5,12,3,2,24,11,1,0,3,/,45.8,36,272,0,7.6,18,124,6.9,2,1,2,0,[4],1,8,0,0,0,3,3,54,7,339,48.4,6,76,12.7,5,111,22.2,0,0,2026,13419694,13419694,Regular Season,2026-09-05T13:12:52.590189
86680,MTL,Montreal Alouettes,37,30,29:02,12,95,49,411,8.4,6,14,1,0,17,6,1,1,3,/,35.3,31,308,0,9.9,16,112,7.0,0,0,0,0,[1],3,26,0,0,0,3,3,43,7,318,45.4,5,42,8.4,4,71,17.8,0,0,2026,13419694,13419694,Regular Season,2026-09-05T13:12:52.590189
83579,HAM,Hamilton Tiger-cats,7,38,30:27,5,45,60,250,4.1,10,6,1,4,25,8,7,5,0,/,32.0,36,169,1,4.7,21,100,4.8,3,1,3,0,[0],1,5,0,2,4,2,2,42,6,323,53.8,2,2,1.0,6,168,28.0,0,0,2026,13419695,13419695,Regular Season,2026-09-05T13:12:52.590189
106752,SSK,Saskatchewan Roughriders,38,7,29:33,4,55,53,342,6.5,11,13,1,2,19,11,1,1,4,/,57.9,25,211,2,8.4,26,137,5.3,1,0,1,40,[1],3,19,0,1,107,1,2,32,3,131,43.7,4,92,23.0,1,38,38.0,0,0,2026,13419695,13419695,Regular Season,2026-09-05T13:12:52.590189
93775,BC,BC Lions,17,19,28:27,3,35,49,213,4.3,2,11,2,5,19,6,2,1,2,/,31.6,34,226,4,6.6,11,15,1.4,0,0,0,0,[5],2,22,0,0,0,1,1,19,7,353,50.4,6,53,8.8,2,57,28.5,1,37,2026,13419696,13419696,Regular Season,2026-09-05T13:12:52.590189
114347,EDM,Edmonton Elks,19,17,31:33,10,82,53,286,5.3,4,12,1,1,22,9,1,1,1,/,40.9,37,282,0,7.6,13,27,2.1,1,1,1,0,[2],4,28,0,4,56,4,5,38,8,395,49.4,5,58,11.6,3,56,18.7,0,0,2026,13419696,13419696,Regular Season,2026-09-05T13:12:52.590189
86680,MTL,Montreal Alouettes,38,32,32:01,9,106,59,515,8.7,8,17,2,1,19,11,3,2,3,/,57.9,32,402,0,12.6,23,135,5.9,1,0,1,2,[0],1,10,0,0,0,1,1,35,5,245,49.0,4,38,9.5,4,21,5.3,0,0,2026,13419697,13419697,Regular Season,2026-09-05T13:12:52.590189
112939,CGY,Calgary Stampeders,32,38,27:59,9,110,55,413,7.5,10,13,1,2,19,10,2,0,4,/,52.6,37,271,0,7.3,17,152,8.9,1,1,1,0,[1],2,20,0,0,0,1,1,32,6,307,51.2,4,43,10.8,3,53,17.7,0,0,2026,13419697,13419697,Regular Season,2026-09-05T13:12:52.590189
122345,TOR,Toronto Argonauts,23,24,28:37,6,54,52,395,7.5,8,17,2,1,19,12,1,1,3,/,63.2,35,322,1,9.2,15,95,6.3,1,0,1,0,[2],2,8,0,1,8,1,3,12,4,214,53.5,4,36,9.0,4,159,39.8,1,43,2026,14038505,14038505,Regular Season,2026-09-05T13:12:52.590189
83579,HAM,Hamilton Tiger-cats,24,23,31:23,4,43,56,367,6.4,12,13,1,1,23,15,1,1,2,/,65.2,27,218,1,8.1,27,157,5.8,0,0,0,0,[1],2,22,0,1,13,1,2,11,4,203,50.8,4,37,9.3,4,119,29.8,1,38,2026,14038505,14038505,Regular Season,2026-09-05T13:12:52.590189
110380,WPG,Winnipeg Blue Bombers,36,34,24:49,7,77,59,367,6.2,1,19,2,1,22,10,1,0,2,/,45.5,43,317,0,7.4,14,60,4.3,0,0,0,0,[1],2,17,0,1,0,6,6,53,4,207,51.8,3,44,14.7,3,47,15.7,0,0,2026,13419699,13419699,Regular Season,2026-09-05T13:12:52.590189
88019,OTT,Ottawa REDBLACKS,34,36,35:11,5,57,69,420,6.0,9,14,2,2,27,12,4,3,2,/,44.4,40,344,1,8.6,27,93,3.4,0,0,0,0,[1],1,9,0,0,0,6,6,47,4,188,47.0,4,47,11.8,2,42,21.0,0,0,2026,13419699,13419699,Regular Season,2026-09-05T13:12:52.590189
114347,EDM,Edmonton Elks,36,34,28:20,4,27,52,526,10.2,2,17,0,2,19,8,4,2,2,/,42.1,32,510,0,15.9,16,43,2.7,2,1,2,0,[1],1,7,0,1,0,3,3,57,4,248,62.0,5,47,9.4,6,84,14.0,1,30,2026,13419700,13419700,Regular Season,2026-09-05T13:12:52.590189
106752,SSK,Saskatchewan Roughriders,34,36,31:40,2,12,56,448,8.0,5,18,0,1,23,13,1,1,3,/,56.5,36,386,1,10.7,19,69,3.6,1,0,1,32,[3],3,21,0,0,0,2,3,48,5,235,47.0,2,25,12.5,4,95,23.8,0,0,2026,13419700,13419700,Regular Season,2026-09-05T13:12:52.590189
