competitor_id,player_jersey_number,player_full_name,player_abv_name,player_position,player_status,passing_COMP,passing_ATT,passing_COMP%,passing_YDS,passing_TD,passing_INT,passing_LONG,passing_YDS/ATT,passing_AY/A,rushing_ATT,rushing_YDS,rushing_TD,rushing_LONG,rushing_AVG,receiving_TGT,receiving_REC,receiving_YDS,receiving_YAC,receiving_TD,receiving_LONG,receiving_AVG,receiving_YDS/TGT,receiving_CATCH%,defense_SOLO,defense_SACKS,defense_TFL,defense_INT,defense_FF,defense_FR,defense_ST_TAK,kicking_FGM,kicking_FGA,kicking_FG%,kicking_FG_LONG,kicking_XP,kicking_ROUGE,kickoffs_NUM,kickoffs_YDS,kickoffs_LONG,punting_NO,punting_GROSS_YDS,punting_GROSS_AVG,punting_LONG,punting_IN_10,kick_return_NUM,kick_return_YDS,kick_return_LONG,kick_return_AVG,punt_return_NUM,punt_return_YDS,punt_return_LONG,punt_return_AVG,game_id,team_id,team_abv,team_name,season_type,last_updated,season
1003124,12,Kaleb Hayes,Kaleb Hayes,Defensive_DefensiveBack,ActiveNotPlayed,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1005246,0,Zyon Gilbert,Zyon Gilbert,Defensive_DefensiveBack,ActiveNotPlayed,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1012742,2,Jamal Peters,Jamal Peters,Defensive_DefensiveBack,Started,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1014479,37,Larry Rountree III,Larry Rountree III,Offensive_RunningBack,Started,,,,,,,,,,9.0,86.0,1,46,9.556,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1018050,16,Jake Dolegala,Jake Dolegala,Offensive_Quarterback,ActiveNotPlayed,5.0,14.0,0.357,61.0,0.0,1.0,25.0,4.357,1.1428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1022381,91,Miles Fox,Miles Fox,Defensive_DefensiveLineman,Started,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1290182,11,Myron Mitchell,Myron Mitchell,Offensive_WideReceiver,ActiveNotPlayed,,,,,,,,,,,,,,,7.0,3.0,43.0,11.0,0.0,18.0,14.333,6.143,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1344426,17,Shemar Bridges,Shemar Bridges,Offensive_WideReceiver,Started,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1345719,8,Keric Wheatfall,Keric Wheatfall,Offensive_WideReceiver,Started,,,,,,,,,,,,,,,1.0,1.0,5.0,5.0,0.0,5.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1349505,27,Johnny Augustine,Johnny Augustine,Offensive_RunningBack,ActiveNotPlayed,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1349542,33,Marc Liegghio,Marc Liegghio,Kicker,ActiveNotPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0,1.0,0.0,2.0,118.0,61.0,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1349633,85,Kiondre Smith,Kiondre Smith,Offensive_WideReceiver,Started,,,,,,,,,,,,,,,3.0,2.0,45.0,9.0,0.0,32.0,22.5,15.0,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1350457,19,Bo Levi Mitchell,Bo Levi Mitchell,Offensive_Quarterback,Started,3.0,3.0,1.0,50.0,0.0,0.0,32.0,16.667,16.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
1350470,5,Tre Ford,Tre Ford,Offensive_Quarterback,ActiveNotPlayed,2.0,10.0,0.2,14.0,0.0,0.0,12.0,1.4,1.4,2.0,17.0,0,12,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13419667,83579,HAM,Hamilton Tiger-Cats,Preseason,2026-09-05T13:09:45.302148,2026
